date,model,VaR,loss
2012-01-06,Historical simulation,3.5401454253055427,1.2425086435827737
2012-01-09,Historical simulation,3.5401454253055427,-0.7662192652582611
2012-01-10,Historical simulation,3.5401454253055427,-1.567283543203235
2012-01-11,Historical simulation,3.5401454253055427,-0.7946755492829638
2012-01-12,Historical simulation,3.5401454253055427,-0.1955315917564704
2012-01-13,Historical simulation,3.5401454253055427,-1.7710160509905037
2012-01-16,Historical simulation,3.5401454253055427,-0.9941109670098314
2012-01-17,Historical simulation,3.5401454253055427,-0.2762548322556846
2012-01-18,Historical simulation,3.5401454253055427,-1.053341594135837
2012-01-19,Historical simulation,3.5401454253055427,-2.9264814450362664
2012-01-20,Historical simulation,3.2331370829080406,0.1152151032425941
2012-01-30,Historical simulation,3.2331370829080406,-3.150905834316209
2012-01-31,Historical simulation,3.2331370829080406,-0.7840539059353446
2012-02-01,Historical simulation,3.2331370829080406,-0.6935196809323863
2012-02-02,Historical simulation,3.2331370829080406,-2.761825461026035
2012-02-03,Historical simulation,3.2331370829080406,-0.03236447404866283
2012-02-06,Historical simulation,3.2331370829080406,0.5015794013488062
2012-02-07,Historical simulation,3.2331370829080406,-0.3371589462810576
2012-02-08,Historical simulation,3.2331370829080406,-2.084925202727117
2012-02-09,Historical simulation,3.2331370829080406,-0.45315089968767097
2012-02-10,Historical simulation,3.2331370829080406,1.5605221076570253
2012-02-13,Historical simulation,3.2331370829080406,2.368452870942317
2012-02-14,Historical simulation,3.2331370829080406,-1.1862416055599567
2012-02-15,Historical simulation,3.2331370829080406,0.7145842585199347
2012-02-16,Historical simulation,3.2331370829080406,0.2267231926454727
2012-02-17,Historical simulation,3.2331370829080406,-1.6979440441497573
2012-02-20,Historical simulation,3.2331370829080406,-2.6136961600322195
2012-02-21,Historical simulation,3.2331370829080406,0.7443451064805373
2012-02-22,Historical simulation,3.2331370829080406,-1.8087600623873712
2012-02-23,Historical simulation,3.2331370829080406,-1.3012174572168966
2012-02-24,Historical simulation,3.2331370829080406,0.1085776436745789
2012-02-27,Historical simulation,3.2331370829080406,-1.1692469797423222
2012-02-28,Historical simulation,3.2331370829080406,1.4554175765046473
2012-02-29,Historical simulation,3.2331370829080406,-0.3357532768955451
2012-03-01,Historical simulation,3.2331370829080406,-1.0122328352150767
2012-03-02,Historical simulation,3.2331370829080406,-2.6858856201847026
2012-03-05,Historical simulation,3.2331370829080406,-3.9277581417962004
2012-03-06,Historical simulation,3.2331370829080406,2.7068521781187904
2012-03-07,Historical simulation,3.2331370829080406,0.2204675703468162
2012-03-08,Historical simulation,3.2331370829080406,2.8231365131947683
2012-03-09,Historical simulation,3.2331370829080406,-0.10419441302937926
2012-03-12,Historical simulation,3.2331370829080406,0.9510261999123415
2012-03-13,Historical simulation,3.2331370829080406,-0.3195673402240473
2012-03-14,Historical simulation,3.2331370829080406,-1.0356304550680484
2012-03-15,Historical simulation,3.2331370829080406,-1.8248556549098183
2012-03-16,Historical simulation,3.2331370829080406,0.7565037157674759
2012-03-19,Historical simulation,3.2331370829080406,0.10267058477273494
2012-03-20,Historical simulation,3.2331370829080406,-0.5054885757762584
2012-03-21,Historical simulation,3.2331370829080406,-1.2369523219991407
2012-03-22,Historical simulation,3.2331370829080406,0.022435609893989295
2012-03-23,Historical simulation,3.2331370829080406,-1.8738670266479573
2012-03-26,Historical simulation,3.2331370829080406,-1.129906038681927
2012-03-27,Historical simulation,3.2331370829080406,2.947693475708668
2012-03-28,Historical simulation,3.2331370829080406,-0.08966198036350903
2012-03-29,Historical simulation,3.2331370829080406,1.5102719478259807
2012-03-30,Historical simulation,3.2331370829080406,-0.3179436284971082
2012-04-03,Historical simulation,3.2331370829080406,-1.0690223592381365
2012-04-04,Historical simulation,3.2331370829080406,1.3551260966316647
2012-04-05,Historical simulation,3.2331370829080406,-1.1665103451932168
2012-04-06,Historical simulation,3.2331370829080406,-0.5625484091351218
2012-04-09,Historical simulation,3.2331370829080406,-0.7326040092072716
2012-04-10,Historical simulation,3.2331370829080406,-0.02661993405101981
2012-04-11,Historical simulation,3.2331370829080406,-1.734891082015455
2012-04-12,Historical simulation,3.2331370829080406,-1.4112788345827632
2012-04-13,Historical simulation,3.2331370829080406,0.5906589851136346
2012-04-16,Historical simulation,3.2331370829080406,-1.2333897948585637
2012-04-17,Historical simulation,3.2331370829080406,-0.9733367672829729
2012-04-18,Historical simulation,3.2331370829080406,0.14391536875475452
2012-04-19,Historical simulation,3.2331370829080406,1.0817361987115248
2012-04-20,Historical simulation,3.2331370829080406,0.2915954038698487
2012-04-23,Historical simulation,3.2331370829080406,0.11816649958609204
2012-04-24,Historical simulation,3.2331370829080406,-0.103134879471245
2012-04-25,Historical simulation,3.2331370829080406,-1.538623031080455
2012-04-26,Historical simulation,3.2331370829080406,0.5641105852927986
2012-04-27,Historical simulation,3.2331370829080406,-0.7542568438846153
2012-05-02,Historical simulation,3.2331370829080406,0.27688845987769994
2012-05-03,Historical simulation,3.2331370829080406,0.777684900281006
2012-05-04,Historical simulation,3.2331370829080406,-1.5913659004663572
2012-05-07,Historical simulation,3.2331370829080406,-2.0756383369056053
2012-05-08,Historical simulation,3.2331370829080406,-0.3612557552666651
2012-05-09,Historical simulation,3.2331370829080406,0.09224241960206214
2012-05-10,Historical simulation,3.2331370829080406,0.3183767542608962
2012-05-11,Historical simulation,3.2331370829080406,1.235823091366406
2012-05-14,Historical simulation,3.2331370829080406,2.192151291580924
2012-05-15,Historical simulation,3.2331370829080406,3.034793167894989
2012-05-16,Historical simulation,3.2331370829080406,1.2677408180437943
2012-05-17,Historical simulation,3.2331370829080406,1.642632369397834
2012-05-18,Historical simulation,3.2331370829080406,1.7390157114170357
2012-05-21,Historical simulation,3.2331370829080406,-2.9606792322115716
2012-05-22,Historical simulation,3.2331370829080406,0.017857940134025085
2012-05-23,Historical simulation,3.2331370829080406,2.5298345860158555
2012-05-24,Historical simulation,3.1113211381033747,2.276430696840226
2012-05-25,Historical simulation,3.1113211381033747,-2.42057404144127
2012-05-28,Historical simulation,3.1113211381033747,0.43535114471975334
2012-05-29,Historical simulation,3.1113211381033747,0.9320419984007344
2012-05-30,Historical simulation,3.1113211381033747,-0.8998883957719528
2012-05-31,Historical simulation,3.1113211381033747,1.4204324230147947
2012-06-01,Historical simulation,3.1113211381033747,0.09324009999511773
2012-06-04,Historical simulation,3.1113211381033747,2.8744068928376443
2012-06-05,Historical simulation,3.1113211381033747,-1.043379766403696
2012-06-06,Historical simulation,3.1113211381033747,-1.2674081926776992
2012-06-07,Historical simulation,3.1113211381033747,-1.8634368193560569
2012-06-08,Historical simulation,3.1113211381033747,0.348203416465509
2012-06-11,Historical simulation,3.1113211381033747,0.09244280760007939
2012-06-12,Historical simulation,3.1113211381033747,1.0085368872124967
2012-06-13,Historical simulation,3.1113211381033747,0.12853922799997974
2012-06-14,Historical simulation,3.1113211381033747,0.5463789694928778
2012-06-15,Historical simulation,3.1113211381033747,-1.8197783073329532
2012-06-18,Historical simulation,3.1113211381033747,-0.5755875355943907
2012-06-19,Historical simulation,3.1113211381033747,1.0407746225522985
2012-06-20,Historical simulation,3.1113211381033747,-0.4189966429393621
2012-06-21,Historical simulation,3.1113211381033747,0.40507908127374037
2012-06-22,Historical simulation,3.1113211381033747,0.9250802884274378
2012-06-25,Historical simulation,3.1113211381033747,0.7165626403415892
2012-06-26,Historical simulation,3.1113211381033747,1.169215629713083
2012-06-27,Historical simulation,3.1113211381033747,0.2747156034163645
2012-06-28,Historical simulation,3.1113211381033747,-0.02870126783633964
2012-06-29,Historical simulation,3.1113211381033747,-1.0017572737879732
2012-07-02,Historical simulation,3.1113211381033747,0.7295052965829107
2012-07-03,Historical simulation,3.1113211381033747,1.4921167280746772
2012-07-04,Historical simulation,3.1113211381033747,0.5729422582195554
2012-07-05,Historical simulation,3.1113211381033747,-0.751919716144478
2012-07-06,Historical simulation,3.1113211381033747,-0.38829380608440545
2012-07-09,Historical simulation,3.1113211381033747,1.7776950728959129
2012-07-10,Historical simulation,3.1113211381033747,0.6711682088999638
2012-07-11,Historical simulation,3.1113211381033747,-0.46513428759755726
2012-07-12,Historical simulation,3.1113211381033747,-0.35294154284626345
2012-07-13,Historical simulation,3.1113211381033747,-2.000793399536782
2012-07-16,Historical simulation,3.1113211381033747,0.7220595538266039
2012-07-17,Historical simulation,3.1113211381033747,-0.8586634119593484
2012-07-18,Historical simulation,3.1113211381033747,-0.3060812069428209
2012-07-19,Historical simulation,3.1113211381033747,-2.2545542474330382
2012-07-20,Historical simulation,3.1113211381033747,0.9169320267026215
2012-07-23,Historical simulation,3.1113211381033747,0.5859714803193583
2012-07-24,Historical simulation,3.1113211381033747,1.5186175659830603
2012-07-25,Historical simulation,3.1113211381033747,0.65657898749647
2012-07-26,Historical simulation,3.1113211381033747,-0.4566824817390902
2012-07-27,Historical simulation,3.1113211381033747,0.3961549216939808
2012-07-30,Historical simulation,3.1113211381033747,-0.44435930922652744
2012-07-31,Historical simulation,3.1113211381033747,0.12537977241651177
2012-08-01,Historical simulation,3.1113211381033747,0.466731195618042
2012-08-02,Historical simulation,3.1113211381033747,-0.8568205438542975
2012-08-03,Historical simulation,3.1113211381033747,-0.505808272357644
2012-08-06,Historical simulation,3.1113211381033747,-1.1766659406101887
2012-08-07,Historical simulation,3.1113211381033747,0.15609113213450598
2012-08-08,Historical simulation,3.1113211381033747,-0.25293428923145456
2012-08-09,Historical simulation,3.1113211381033747,-0.8018384034635062
2012-08-10,Historical simulation,3.1113211381033747,0.33312250760131334
2012-08-13,Historical simulation,3.1113211381033747,-0.1432379050392285
2012-08-14,Historical simulation,3.1113211381033747,-0.7713562624987347
2012-08-15,Historical simulation,3.0607820780240313,-0.30224146508501804
2012-08-16,Historical simulation,3.0607820780240313,-0.0139275766241731
2012-08-17,Historical simulation,3.0607820780240313,-0.6062868574012725
2012-08-20,Historical simulation,3.0607820780240313,-0.8797272865108674
2012-08-21,Historical simulation,3.0607820780240313,4.787126705553124
2012-08-22,Historical simulation,3.1144073637370018,1.5984477104113992
2012-08-23,Historical simulation,3.1144073637370018,4.336648633905771
2012-08-24,Historical simulation,3.5404187298538687,-1.7412810312533722
2012-08-27,Historical simulation,3.5404187298538687,3.4434825653936407
2012-08-28,Historical simulation,3.5404187298538687,0.10622175435583969
2012-08-29,Historical simulation,3.5404187298538687,-1.8695013175745956
2012-08-30,Historical simulation,3.5404187298538687,-1.0603533444985658
2012-08-31,Historical simulation,3.5404187298538687,0.31010903871768747
2012-09-04,Historical simulation,3.5404187298538687,-1.5186358765633123
2012-09-05,Historical simulation,3.5404187298538687,0.7890178261614977
2012-09-06,Historical simulation,3.5404187298538687,1.390857048133931
2012-09-07,Historical simulation,3.5404187298538687,-1.036776595832567
2012-09-10,Historical simulation,3.5404187298538687,2.1949278273453388
2012-09-11,Historical simulation,3.5404187298538687,0.5828514243654048
2012-09-12,Historical simulation,3.5404187298538687,-0.4464696372110666
2012-09-13,Historical simulation,3.5404187298538687,-0.7720857633151113
2012-09-14,Historical simulation,3.5404187298538687,-1.9007696765627635
2012-09-17,Historical simulation,3.5404187298538687,-0.7194455353186413
2012-09-18,Historical simulation,3.5404187298538687,1.8185516110502675
2012-09-19,Historical simulation,3.5404187298538687,-0.010138645992530115
2012-09-20,Historical simulation,3.5404187298538687,1.3446995931832184
2012-09-21,Historical simulation,3.5404187298538687,-1.5801337993719855
2012-09-24,Historical simulation,3.5404187298538687,1.3005209704961551
2012-09-25,Historical simulation,3.5404187298538687,-0.3579925576454812
2012-09-26,Historical simulation,3.5404187298538687,-0.8514583331944436
2012-09-27,Historical simulation,3.5404187298538687,0.451513843186202
2012-09-28,Historical simulation,3.5404187298538687,0.1959512530391727
2012-10-01,Historical simulation,3.5404187298538687,1.545363950363221
2012-10-02,Historical simulation,3.5404187298538687,0.5785686874864915
2012-10-03,Historical simulation,3.5404187298538687,-0.27283728549196695
2012-10-04,Historical simulation,3.5404187298538687,0.2234115336696263
2012-10-05,Historical simulation,3.5404187298538687,-0.9447829345843317
2012-10-08,Historical simulation,3.5404187298538687,-1.3536369225306544
2012-10-09,Historical simulation,3.5404187298538687,-0.05589999129202994
2012-10-10,Historical simulation,3.5404187298538687,-0.2511639847367242
2012-10-11,Historical simulation,3.5404187298538687,0.11916081780158905
2012-10-12,Historical simulation,3.5404187298538687,0.41945837053303237
2012-10-15,Historical simulation,3.5404187298538687,0.24996824647036675
2012-10-16,Historical simulation,3.5404187298538687,-1.9373882989507152
2012-10-17,Historical simulation,3.5404187298538687,0.5525986130713534
2012-10-18,Historical simulation,3.5404187298538687,-0.3745934766280712
2012-10-19,Historical simulation,3.5404187298538687,0.07028642004343055
2012-10-22,Historical simulation,3.5404187298538687,0.3093447130678939
2012-10-23,Historical simulation,3.5404187298538687,-0.17868157916769434
2012-10-24,Historical simulation,3.5404187298538687,0.5698739513441353
2012-10-25,Historical simulation,3.5404187298538687,1.4082767088530623
