date,close,open,high,low,log_price,ret,loss,abs_ret,ret_lag1,abs_ret_lag1,loss_lag1,gk_var
2010-01-05,532.53,529.23,539.39,529.23,6.277639234024822,2.9499652393838005,-2.9499652393838005,2.9499652393838005,NA,NA,NA,1.6587295876401378e-4
2010-01-06,534.46,529.47,538.84,526.37,6.281256891369122,0.36176573442991966,-0.36176573442991966,0.36176573442991966,2.9499652393838005,2.9499652393838005,-2.9499652393838005,2.401238971210851e-4
2010-01-07,533.34,536.78,540.77,530.68,6.279159119481639,-0.20977718874828355,0.20977718874828355,0.20977718874828355,0.36176573442991966,0.36176573442991966,-0.36176573442991966,1.6140836057922754e-4
2010-01-08,520.9,540.95,544.49,520.9,6.255558084751145,-2.3601034730493353,2.3601034730493353,2.3601034730493353,-0.20977718874828355,0.20977718874828355,0.20977718874828355,4.298270027716899e-4
2010-01-11,515.06,522.78,524.06,512.15,6.244283398731942,-1.127468601920345,1.127468601920345,1.127468601920345,-2.3601034730493353,2.3601034730493353,2.3601034730493353,1.7873816591066206e-4
2010-01-12,498.31,511.24,516.75,498.31,6.211222373317983,-3.3061025413958944,3.3061025413958944,3.3061025413958944,-1.127468601920345,1.127468601920345,1.127468601920345,4.0668869356402494e-4
2010-01-13,508.61,495.72,508.61,485.75,6.231681514611481,2.0459141293497574,-2.0459141293497574,2.0459141293497574,-3.3061025413958944,3.3061025413958944,3.3061025413958944,8.02868222830836e-4
2010-01-14,512.33,516.44,517.72,509.25,6.238968948668449,0.7287434056968856,-0.7287434056968856,0.7287434056968856,2.0459141293497574,2.0459141293497574,-2.0459141293497574,1.1138866852554399e-4
2010-01-15,505.42,509.19,512.63,503.29,6.2253897667868685,-1.3579181881580915,1.3579181881580915,1.3579181881580915,0.7287434056968856,0.7287434056968856,-0.7287434056968856,1.47721730180909e-4
2010-01-18,487.13,499.08,499.24,487.13,6.188531027912072,-3.6858738874796515,3.6858738874796515,3.6858738874796515,-1.3579181881580915,1.3579181881580915,1.3579181881580915,7.460514082894813e-5
2010-01-19,495.51,489.84,498.1,489.77,6.205587535201109,1.7056507289036738,-1.7056507289036738,1.7056507289036738,-3.6858738874796515,3.6858738874796515,3.6858738874796515,9.104854947765531e-5
2010-01-20,489.5,498.73,499.15,489.5,6.193384461970565,-1.2203073230543815,1.2203073230543815,1.2203073230543815,1.7056507289036738,1.7056507289036738,-1.7056507289036738,5.57576184624592e-5
2010-01-21,478.42,481.97,489.47,477.8,6.170489007782642,-2.2895454187922937,2.2895454187922937,2.2895454187922937,-1.2203073230543815,1.2203073230543815,1.2203073230543815,2.700383892031219e-4
